Name,Function,Location
JÔNATAS,Co-Founder and Art Director,"France, USA"
EROS GONZALES,Co-Founder and Marketing Director,USA
DANA BLICKENSDERFER,Partner & Co-Founder of JADA,USA
ALEX RICHETIN,Partner & Head of Growth,France
PAOULINA BOUROVA,Partner & Legal Consultant,USA
ORAN AVIV,Partner & Marketing Consultant,USA
SAMUEL LOETSCHER,Partner & Communications Director,USA
EMERSON,"Partner & Development Consultant ","Brazil, USA"
HUGO KLEINSINGER,"Partner & Development ",France
IVAN VETROV,Designer,France
